channel_title,avg_views,video_count
The Bella Twins,301545,2
KKandbabyJ,301126,2
TheBeatlesVEVO,300775,1
Mashable Daily,300407,1
Shesez,300203,1
ABC7,299090,1
Shmee150,298744,1
Glam&Gore,298244,6
Peter McKinnon,297497,3
AzzyLand,297360,1
JamesAVEVO,297306,1
Shawn Johnson East,297204,2
Olympic,296986,4
Jason Yu,296633,1
Vet Ranch,295258,1
Cards Against Humanity,295217,1
iHasCupquake,294789,2
Nicole Guerriero,294387,1
R3HAB,293814,2
Matt Steffanina,293758,1
doddlevloggle,292107,1
Disney On Broadway,291737,1
Bebe Rexha,290061,3
WaterTower Music,289557,1
Rob Scallon,288742,3
Carli Bybel,288214,4
Jonathan Morrison,284065,3
akidearest,283696,1
JuJu Smith-Schuster,283692,1
CBS This Morning,283485,17
RAP DAILY,283379,1
All is Art,282383,1
Никита Ордынский,282380,1
NBA,280948,53
Duncan Sinfield,279812,1
Blake Shelton,279586,1
The Telegraph,279561,1
bulletvalentineVEVO,277498,1
PolyMatter,277150,1
Dua Lipa,276231,1
JerryRigEverything,275847,9
Jack Coyne,274132,2
Cracked,273478,6
William Osman,273290,11
TIME,272865,12
Klossy,271532,5
Half as Interesting,271088,8
keshaVEVO,270331,2
Slooh,269906,1
Nerdwriter1,269473,8
TheInternetVEVO,268767,1
Mitchell Moon,268105,1
Entertainment Tonight,267216,13
AaronsAnimals,266324,4
Business Insider,265598,11
Gus Johnson,265348,9
TromaMovies,265204,1
News 5 Cleveland,265128,1
Yoga With Adriene,265038,1
Nathan Robinson,264408,1
WhatsUpMoms,262626,1
Itzztonytony,261544,1
jennxpenn,261473,5
Rapid Trailer,260296,2
UrAvgConsumer,259918,1
Johnny Jansen,259832,1
Dave Lee,259812,2
Physics Girl,259343,3
CBS New York,258824,2
Good Morning America,258681,12
TurboTax,257320,2
JasonAldeanVEVO,257294,2
Awkward Puppets,257059,1
Fleur DeForce,256468,4
SigridVEVO,255540,3
3Blue1Brown,254966,3
CBS,254930,2
Kris Harbour,253926,1
Scotty Kilmer,253378,1
JOLLY,253087,3
Maggie Lindemann,252616,2
PBS Space Time,251579,1
DonDiablo,251014,1
Strange Parts,250906,2
TED-Ed,249188,22
ITV,248238,1
BBALLBREAKDOWN,247763,1
Keyboard Cat,247744,1
Wong Fu Productions,247007,5
Nyma Tang,246687,1
Movieclips Trailers,246320,2
LavenderTowne,246040,1
Tech Insider,245310,8
MatthewSantoro,244910,6
Fifty Shades,244539,1
Storyful News,244532,1
TheMeanKitty,244192,2
Nile Wilson,244095,2
Madelaine Petsch,243293,6
SeanPaulVEVO,243220,1
Google,243018,5
SuperCarlinBrothers,241697,3
Ryan,241409,1
ThreeDaysGraceVEVO,239907,1
MrMobile [Michael Fisher],239189,1
Munchies,239103,3
A&E,238953,1
