video_id,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20
fNtLIcyjsnI,-0.18846944,-0.3715192,0.10095569,-0.18675593,-0.045627262,-0.09263465,-0.035711266,0.07372014,-0.052550904,-0.05208442,-0.014915172,-0.10808766,0.012718078,-0.021392776,0.038048454,0.06938043,-0.10641278,-0.07908502,0.10588173,-0.038077343
_Iz83-Cmt6A,-0.21566162,0.012588691,0.0058790827,0.23193589,-0.1530379,-0.17650631,-0.03201004,-0.01726051,0.113034435,0.06685721,-0.14045683,-0.1367181,-0.0662634,-0.04239238,-0.06543867,0.07725666,0.12515242,0.03533642,0.048267763,0.02709873
YlvCVbfS9M0,-0.43206328,0.024244033,-0.14524148,0.06239122,0.2010943,-0.034365922,-0.04222823,-0.14094609,0.10423783,-0.18244386,-0.06642474,-0.16420372,-0.016156137,0.013090982,-0.01812524,-0.008789955,0.09227166,-0.078339905,0.0062589394,-0.075410254
arJ5h2TY3I4,-0.35077134,0.17807628,-0.20394027,-0.09825426,-0.06571787,0.061406504,0.09106566,-0.13394545,-0.18731357,-0.06719212,0.03574226,0.04639472,0.040314388,-0.06515376,0.039838195,0.012175266,0.059225358,-0.054179017,-0.13334584,0.013532495
gEHCXl4J9Qo,-0.28437105,0.17138824,0.10068832,0.040781546,-0.020417398,-0.064632416,0.17214088,-0.03806973,-0.0028435308,-0.04703005,0.14896633,-0.00973266,0.080936134,0.080622256,-0.09181556,0.027963182,-0.02217342,-0.016479429,0.05771774,-0.071610376
-OK9i1_YYYc,-0.0018151551,-0.1256477,-0.24460934,-0.08758569,0.010362614,0.037155032,0.11590117,-0.042817127,0.056193292,0.28053528,-0.017628476,0.030172786,-0.1584995,-0.1799522,-0.17741354,-0.031182831,0.1311354,0.023884805,0.23256457,0.09843696
b4vTZx_AtHk,0.24151236,0.059250988,-0.060053688,0.030902378,-0.064580455,0.17041942,-0.049358897,0.0040947497,-0.074640505,-0.0027797222,-0.07238548,-0.17579763,0.028058294,0.07818253,0.032209538,0.0013120156,0.02760287,0.11685388,-0.058075245,-0.10705383
kOnQocd799Y,0.09573382,-0.05821177,0.05010835,0.15597135,0.03141743,0.09183819,-0.015545115,0.035801567,-0.03026447,0.06586648,-0.018646978,-0.031761497,-0.07808549,-0.019028032,0.12572572,0.03278822,-0.010131115,0.034907803,0.09761405,-0.0019663791
e4FApt6z55c,-0.45663393,0.15689275,-0.0765529,0.0924937,-0.111033514,0.16497666,0.042182095,0.073163174,-0.03958999,0.07961672,0.04954139,0.2566348,0.022652697,0.059131447,-0.090102874,-0.14722824,0.11730118,0.0123021435,-0.016483694,-0.038930815
2XK4omx9uMU,-0.3127666,0.15134017,-0.07248296,0.0075964853,0.076997615,0.1130537,0.09383721,-0.057376344,-0.11159246,-0.14710647,-0.07599415,-0.0150424875,-0.028100535,-0.047769103,0.030062748,0.042136483,0.07020175,0.078323945,0.04758368,-0.050144456
xfmipNU4Odc,0.19399512,-0.0061705243,0.12396902,-0.097204015,0.27191803,-0.03759046,0.020149376,0.045026384,-0.041590735,0.09728081,-0.103974424,0.014347108,-0.09280856,0.009669388,0.0076341014,0.04209932,0.15757214,-0.045571633,0.00874604,-0.11288591
jp9hK-jY6yY,-0.08026758,0.15571998,0.1505217,-0.015018873,0.22762737,0.036866985,0.13078614,-0.013104815,-0.12331571,-0.007396877,0.14619355,0.013672838,0.09057379,-0.15269868,-0.008094654,-0.011650501,-0.101331845,0.009620179,0.03954632,0.21287365
RkHuWjiR-LM,-0.4056713,-0.0086548,-0.24100372,0.097230084,-0.001958651,0.18499458,-0.06103147,-0.0059176013,-0.012832455,0.117082946,0.011614896,0.015073212,0.0035088882,0.01038936,-0.03505355,-0.10822191,0.14748475,0.05103292,0.05537245,-0.015803458
fCTKDn3Q8xQ,0.23695575,-0.015719844,-0.17203613,-0.00762441,-0.028188977,0.123503365,-0.0959411,-0.0068256445,-0.03684351,-0.0012786537,-0.0022922978,0.2113558,0.079230726,-0.06251223,0.066569045,-0.07900111,0.055200115,0.11776954,-0.041945167,0.0167333
